scenario,n_burn_in,n_post_burn_in,n_chains,samples_per_chain,dim_beta,lambda1,mpsrf,converged
1,500,1000,10,1000,201,0.03127176362230046,1.0333989399845305,True
1,500,1500,10,1500,201,0.020126214208543033,1.0214721689627306,True
3,500,1500,10,1500,1001,0.10203023374117165,1.111566590448622,False
3,500,2000,10,2000,1001,0.0727484116605156,1.0795232528265672,True
2,1000,2000,10,2000,1001,0.10768891536721548,1.117957806903937,False
2,1000,2500,10,2500,1001,0.08535835430634899,1.0934941897369839,True
2,500,2500,10,2500,1001,0.0839259593316541,1.0919185552648196,True
2,1000,2500,10,2500,1001,0.08535835430634899,1.0934941897369839,True
