scenario,n_burn_in,n_post_burn_in,seed,parameter,n_samples,n_coords,ess_min,ess_q05,ess_median,ess_mean,ess_rel_median,n_below_threshold
1,500,1500,23,beta,1500,201,416.78749400545956,1170.6216384875138,1459.2479279809934,1439.3003061214463,0.972831951987329,0
1,500,1500,11,beta,1500,201,343.85466657593344,1134.1568965176843,1453.5220881920852,1428.2369631997058,0.9690147254613901,1
1,500,1500,81,beta,1500,201,432.4220220406708,1138.9535821287834,1457.5943697667617,1426.744205734816,0.9717295798445078,0
1,500,1500,34,beta,1500,201,412.11156970259486,1106.8010332114488,1422.2266457212058,1395.9202615579195,0.9481510971474706,0
1,500,1500,43,beta,1500,201,398.84274171577044,1136.1949961019352,1448.0751504240045,1406.3682466755345,0.965383433616003,1
1,500,1500,205,beta,1500,201,515.0128243090155,1137.295276073424,1460.7588769330646,1429.8403225884474,0.9738392512887097,0
1,500,1500,22,beta,1500,201,360.933239718372,1210.9663819281827,1449.73254559037,1432.7208076501213,0.9664883637269133,1
1,500,1500,100,beta,1500,201,410.9207885484089,1166.2827196097762,1444.9052141021612,1419.138661037377,0.9632701427347741,0
1,500,1500,32,beta,1500,201,403.57563359339036,1106.2359693728386,1457.358645520813,1419.264601495439,0.9715724303472087,0
1,500,1500,56,beta,1500,201,393.5260792587783,1030.928949859845,1443.3120653439578,1409.0408875943388,0.9622080435626386,1
1,500,1500,23,gamma,1500,196,179.00356208374538,735.1690468527731,1349.9408844018626,1275.3797829708635,0.8999605896012417,4
1,500,1500,11,gamma,1500,197,113.68819697008183,718.5702173697563,1283.8327389358424,1270.0306328310594,0.8558884926238949,4
1,500,1500,81,gamma,1500,197,156.3013252806073,761.7952499272787,1378.4826892835115,1295.0942563618116,0.918988459522341,5
1,500,1500,34,gamma,1500,197,186.87459942081432,743.9908321504827,1506.0402576532733,1305.0006299228999,1.0040268384355155,5
1,500,1500,43,gamma,1500,197,79.82970347956092,796.8440809172831,1502.005345807478,1299.172718198757,1.0013368972049854,5
1,500,1500,205,gamma,1500,197,177.4378116230281,764.8711646725908,1404.265777745948,1294.364979347581,0.9361771851639654,4
1,500,1500,22,gamma,1500,197,134.09925668942748,685.1167385783497,1318.4557401003399,1280.4460271460566,0.8789704934002266,4
1,500,1500,100,gamma,1500,197,170.89129296614968,754.2864875991562,1332.921080501838,1282.4045860442125,0.888614053667892,4
1,500,1500,32,gamma,1500,197,122.84374418571099,690.1496509538985,1508.069921397568,1319.3460950806932,1.0053799475983787,4
1,500,1500,56,gamma,1500,197,144.93252323121408,735.3954605719198,1360.3386582476876,1283.2407040483342,0.9068924388317917,4
