scenario,seed,n_burn_in,n_post_burn_in,n_a,n_b,p_value,passed
3,56,500,2000,200,1000,0.01247508770031347,False
3,32,500,2000,200,1000,0.8759936891393072,True
3,205,500,2000,200,1000,0.15948741459874172,True
3,22,500,2000,200,1000,0.07464377668105149,True
3,100,500,2000,200,1000,0.4494615519029006,True
3,34,500,2000,200,1000,0.007222971872731021,False
3,43,500,2000,200,1000,0.9836519707504883,True
3,81,500,2000,200,1000,0.46624596437123556,True
3,11,500,2000,200,1000,0.31644333045788753,True
3,23,500,2000,200,1000,0.779181166968357,True
