scenario,n_burn_in,n_post_burn_in,seed,parameter,n_samples,n_coords,ess_min,ess_q05,ess_median,ess_mean,ess_rel_median,n_below_threshold
4,2000,4000,56,beta,4000,20001,12.431584772527424,3403.127919542033,3915.328061977925,3850.117446617869,0.9788320154944812,69
4,2000,4000,32,beta,4000,20001,15.412844634929819,3389.872549811855,3914.2710613642753,3851.167961040558,0.9785677653410688,60
4,2000,4000,100,beta,4000,20001,9.785438223236747,3388.747507445012,3913.693796379975,3849.8142567823934,0.9784234490949938,65
4,2000,4000,22,beta,4000,20001,9.050605449383815,3391.328383551691,3912.1921813141184,3849.4309916356638,0.9780480453285296,60
4,2000,4000,81,beta,4000,20001,16.178108410305665,3385.150563783824,3913.9050044695427,3850.1305303975055,0.9784762511173857,62
4,2000,4000,43,beta,4000,20001,17.166157179413087,3399.0063078823077,3913.4156460792406,3850.6982159161234,0.9783539115198101,67
4,2000,4000,34,beta,4000,20001,15.397047431101862,3376.854343382515,3912.734773179161,3846.3734693586734,0.9781836932947903,67
4,2000,4000,205,beta,4000,20001,17.616150143254664,3388.322277144757,3914.9249072893826,3850.781798560293,0.9787312268223457,58
4,2000,4000,23,beta,4000,20001,14.89895513321637,3388.5148129471195,3915.5846131859553,3849.997210908378,0.9788961532964888,66
4,2000,4000,11,beta,4000,20001,11.50688909107138,3388.86183036112,3913.6156392148364,3848.9338925501643,0.9784039098037091,66
4,2000,4000,56,gamma,4000,19988,6.426319821732021,1593.0876452354776,4010.040156863335,3530.593770887416,1.0025100392158337,294
4,2000,4000,32,gamma,4000,19973,9.271155225787158,1605.7963132654381,4010.040156863335,3530.610318472115,1.0025100392158337,302
4,2000,4000,100,gamma,4000,19984,5.880509619616286,1614.1394314264098,4010.040156863335,3533.201307100436,1.0025100392158337,306
4,2000,4000,22,gamma,4000,19989,6.426434174174898,1578.5394993839816,4010.040156863335,3516.10720111629,1.0025100392158337,299
4,2000,4000,81,gamma,4000,19979,6.313736336986547,1622.169651909429,4010.040156863335,3529.554116670471,1.0025100392158337,312
4,2000,4000,43,gamma,4000,19980,7.324510191675044,1605.7596656220762,4010.040156863335,3528.043481996214,1.0025100392158337,296
4,2000,4000,34,gamma,4000,19983,10.246975904846023,1585.624533166393,4010.040156863335,3533.979666126702,1.0025100392158337,301
4,2000,4000,205,gamma,4000,19977,5.601000057336432,1608.3413466552786,4010.040156863335,3534.23621081243,1.0025100392158337,301
4,2000,4000,23,gamma,4000,19982,8.887078139901039,1593.2356264905561,4010.040156863335,3524.0618034988483,1.0025100392158337,319
4,2000,4000,11,gamma,4000,19981,6.718420720121538,1643.035716356443,4010.040156863335,3530.6646020431335,1.0025100392158337,289
