scenario,n_burn_in,n_post_burn_in,seed,samples_per_chain,sigma_post_mean,sigma_psrf,beta_psrf_min,beta_psrf_max,beta_psrf_median,beta_n_undefined,gamma_psrf_min,gamma_psrf_max,gamma_psrf_median,gamma_n_undefined
1,500,1000,23,1000,0.334288148150818,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,11,1000,0.33442078890128674,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,81,1000,0.3346933269634304,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,34,1000,0.33374234906304356,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,43,1000,0.33549104663616947,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,205,1000,0.334733397957723,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,22,1000,0.3346506445234468,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,100,1000,0.33340113533331384,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,32,1000,0.3326217805287226,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1000,56,1000,0.3336557856096017,1.0011183294230832,0.9995958172407092,1.0013042187297805,0.9999491981992895,0,0.9995972854122249,1.0085295085952453,1.000055483836343,4
1,500,1500,23,1500,0.3342379748197345,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,11,1500,0.3338972486288601,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,81,1500,0.33387460409309405,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,34,1500,0.3339311851094421,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,43,1500,0.3354827323138098,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,205,1500,0.33366898849124194,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,22,1500,0.3345759184053334,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,100,1500,0.33417652705931744,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,32,1500,0.3327748236328323,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
1,500,1500,56,1500,0.3334065633592168,1.0008917003520124,0.9997170875794988,1.0010839058480092,0.9999735297786794,0,0.999730384863389,1.0046044691331608,1.0000662139654561,4
