scenario,n_burn_in,n_post_burn_in,seed,parameter,n_samples,n_coords,ess_min,ess_q05,ess_median,ess_mean,ess_rel_median,n_below_threshold
2,1000,2500,81,beta,2500,1001,77.25447775264796,805.5304413511293,2261.8792600272805,2070.4868672559132,0.9047517040109122,27
2,1000,2500,100,beta,2500,1001,124.62252498799664,737.9083549851285,2237.393193608688,2051.58294111484,0.8949572774434751,26
2,1000,2500,43,beta,2500,1001,113.70348960415234,751.4471027126073,2255.557700554463,2065.5604521102887,0.9022230802217851,24
2,1000,2500,34,beta,2500,1001,129.63906350804555,685.5370927816075,2254.761084290719,2071.848440682267,0.9019044337162875,25
2,1000,2500,11,beta,2500,1001,92.68777881667255,779.6394269310271,2258.526234960978,2060.262535289533,0.9034104939843912,25
2,1000,2500,23,beta,2500,1001,106.6089905774563,730.7088053296085,2253.1346788830033,2061.4953728514956,0.9012538715532014,28
2,1000,2500,205,beta,2500,1001,117.88570721411334,682.4457221643611,2252.2214386943533,2072.314548214619,0.9008885754777414,26
2,1000,2500,56,beta,2500,1001,123.20634697260321,749.5561461019524,2241.9052017166737,2052.1575673677667,0.8967620806866695,25
2,1000,2500,32,beta,2500,1001,68.71386813353398,697.1850668661759,2259.2382641167305,2065.220929875226,0.9036953056466922,29
2,1000,2500,22,beta,2500,1001,75.06965767176816,765.9201287896155,2254.105525078471,2068.207535945398,0.9016422100313884,25
2,1000,2500,81,gamma,2500,1001,50.47898036662019,223.02084721390094,795.9475589400213,764.4241826939324,0.3183790235760085,150
2,1000,2500,100,gamma,2500,1000,70.04122445567072,220.5475060185324,771.2618559433863,756.5384110525886,0.30850474237735453,147
2,1000,2500,43,gamma,2500,1001,74.69741482731173,222.39512107645464,796.7593016155264,759.0331878497293,0.31870372064621055,138
2,1000,2500,34,gamma,2500,1001,73.9365963463383,220.20456060263714,798.947985532778,761.8576344627381,0.3195791942131112,145
2,1000,2500,11,gamma,2500,1001,49.78649067362687,235.91013436424416,783.8982629772739,754.9203455908081,0.3135593051909096,153
2,1000,2500,23,gamma,2500,1000,59.55033477149588,217.1444546942868,801.6600226804392,761.5452319467202,0.3206640090721757,148
2,1000,2500,205,gamma,2500,1001,74.76439422987477,214.25534180068465,808.5146963094414,756.2240604901085,0.32340587852377656,142
2,1000,2500,56,gamma,2500,1001,63.68041382823523,206.55606973062396,801.8363436182697,756.870684864606,0.32073453744730784,154
2,1000,2500,32,gamma,2500,1000,42.21870358888399,214.29261265649464,793.9482754911568,765.1041905410154,0.31757931019646274,137
2,1000,2500,22,gamma,2500,1001,40.26000498333857,226.9613645243006,806.4639272434213,765.2204705156533,0.3225855708973685,147
