scenario,seed,n_burn_in,n_post_burn_in,n_a,n_b,p_value,passed
1,23,500,1500,150,750,0.3888482578886334,True
1,11,500,1500,150,750,0.4024896049705542,True
1,81,500,1500,150,750,0.037076096888944754,False
1,34,500,1500,150,750,0.7599057865470735,True
1,43,500,1500,150,750,0.621701857424938,True
1,205,500,1500,150,750,0.9452675016699459,True
1,22,500,1500,150,750,0.6113282009355034,True
1,100,500,1500,150,750,0.5638838108989441,True
1,32,500,1500,150,750,0.7854336838410165,True
1,56,500,1500,150,750,0.6407976355012803,True
